time	V(n003)	V(n004)
5.585913191328103e-003	2.519074e+000	-5.134881e-001
5.605444441328103e-003	3.028473e+000	-6.145324e-001
5.624975691328102e-003	3.492399e+000	-7.063335e-001
5.644506941328102e-003	3.903874e+000	-7.875108e-001
5.664038191328102e-003	4.256708e+000	-8.568431e-001
5.683569441328101e-003	4.545594e+000	-9.132877e-001
5.703100691328101e-003	4.766187e+000	-9.559956e-001
5.722631941328100e-003	4.915170e+000	-9.843245e-001
5.742163191328100e-003	4.990301e+000	-9.978482e-001
5.761694441328099e-003	4.990450e+000	-9.963633e-001
5.781225691328099e-003	4.915615e+000	-9.798921e-001
5.800756941328099e-003	4.766923e+000	-9.486825e-001
5.820288191328098e-003	4.546609e+000	-9.032039e-001
5.839819441328098e-003	4.257987e+000	-8.441402e-001
5.859350691328097e-003	3.905400e+000	-7.723799e-001
5.878881941328097e-003	3.494149e+000	-6.890022e-001
5.898413191328097e-003	3.030421e+000	-5.952613e-001
5.917944441328096e-003	2.521190e+000	-4.925672e-001
5.937475691328096e-003	1.974117e+000	-3.824643e-001
5.957006941328095e-003	1.397428e+000	-2.666089e-001
5.976538191328095e-003	7.997987e-001	-1.467433e-001
5.996069441328094e-003	1.902167e-001	-2.467068e-002
6.015600691328094e-003	-4.221492e-001	9.777306e-002
6.035131941328094e-003	-1.028088e+000	2.187462e-001
6.054663191328093e-003	-1.618487e+000	3.364292e-001
6.074194441328093e-003	-2.184465e+000	4.490520e-001
6.093725691328092e-003	-2.717510e+000	5.549206e-001
6.113256941328092e-003	-3.209604e+000	6.524427e-001
6.132788191328092e-003	-3.653345e+000	7.401515e-001
6.152319441328091e-003	-4.042058e+000	8.167276e-001
6.171850691328091e-003	-4.369898e+000	8.810195e-001
6.191381941328090e-003	-4.631932e+000	9.320599e-001
6.210913191328090e-003	-4.824220e+000	9.690814e-001
6.230444441328089e-003	-4.943869e+000	9.915270e-001
6.249975691328089e-003	-4.989079e+000	9.990591e-001
6.269506941328089e-003	-4.959172e+000	9.915643e-001
6.289038191328088e-003	-4.854597e+000	9.691556e-001
6.308569441328088e-003	-4.676926e+000	9.321698e-001
6.328100691328087e-003	-4.428832e+000	8.811634e-001
6.347631941328087e-003	-4.114048e+000	8.169034e-001
6.367163191328087e-003	-3.737307e+000	7.403564e-001
6.386694441328086e-003	-3.304277e+000	6.526738e-001
6.406225691328086e-003	-2.821470e+000	5.551744e-001
6.425756941328085e-003	-2.296149e+000	4.493245e-001
6.445288191328085e-003	-1.736214e+000	3.367165e-001
6.464819441328084e-003	-1.150088e+000	2.190440e-001
6.484350691328084e-003	-5.465854e-001	9.807677e-002
6.503881941328084e-003	6.521577e-002	-2.436559e-002
6.523413191328083e-003	6.761140e-001	-1.464415e-001
6.542944441328083e-003	1.276921e+000	-2.663147e-001
6.562475691328082e-003	1.858599e+000	-3.821824e-001
6.582006941328082e-003	2.412401e+000	-4.923016e-001
6.601538191328082e-003	2.929995e+000	-5.950162e-001
6.621069441328081e-003	3.403598e+000	-6.887812e-001
6.640600691328081e-003	3.826084e+000	-7.721863e-001
6.660131941328080e-003	4.191100e+000	-8.439770e-001
6.679663191328080e-003	4.493155e+000	-9.030734e-001
6.699194441328079e-003	4.727706e+000	-9.485868e-001
6.718725691328079e-003	4.891226e+000	-9.798326e-001
6.738256941328079e-003	4.981253e+000	-9.963408e-001
6.757788191328078e-003	4.996435e+000	-9.978631e-001
6.777319441328078e-003	4.936543e+000	-9.843767e-001
6.796850691328077e-003	4.802478e+000	-9.560842e-001
6.816381941328077e-003	4.596257e+000	-9.134114e-001
6.835913191328077e-003	4.320982e+000	-8.570000e-001
6.855444441328076e-003	3.980793e+000	-7.876985e-001
